2008 3月6日最新测试
perfromance test1
xmemcached

test write,thread num=1, repeat=10000,size=2, all=10000 ,velocity=3368 , using time:2969
test read,thread num=1, repeat=10000,size=2, all=10000 ,velocity=3422 , using time:2922
test delete,thread num=1, repeat=10000,size=2, all=10000 ,velocity=3787 , using time:2640

test write,thread num=10, repeat=10000,size=2, all=100000 ,velocity=12307 , using time:8125
test read,thread num=10, repeat=10000,size=2, all=100000 ,velocity=15274 , using time:6547
test delete,thread num=10, repeat=10000,size=2, all=100000 ,velocity=13473 , using time:7422

test write,thread num=50, repeat=10000,size=2, all=500000 ,velocity=22115 , using time:22609
test read,thread num=50, repeat=10000,size=2, all=500000 ,velocity=30769 , using time:16250
test delete,thread num=50, repeat=10000,size=2, all=500000 ,velocity=24483 , using time:20422

test write,thread num=100, repeat=10000,size=2, all=1000000 ,velocity=22448 , using time:44546
test read,thread num=100, repeat=10000,size=2, all=1000000 ,velocity=32569 , using time:30704
test delete,thread num=100, repeat=10000,size=2, all=1000000 ,velocity=25538 , using time:39156

test write,thread num=200, repeat=10000,size=2, all=2000000 ,velocity=24187 , using time:82687
test read,thread num=200, repeat=10000,size=2, all=2000000 ,velocity=35320 , using time:56625
test delete,thread num=200, repeat=10000,size=2, all=2000000 ,velocity=26683 , using time:74953

test write,thread num=500, repeat=10000,size=2, all=5000000 ,velocity=24623 , using time:203062
test read,thread num=500, repeat=10000,size=2, all=5000000 ,velocity=36955 , using time:135297
test delete,thread num=500, repeat=10000,size=2, all=5000000 ,velocity=27609 , using time:181094

spymemcached

test write,thread num=1, repeat=10000,size=2, all=10000 ,velocity=3047 , using time:3281
test read,thread num=1, repeat=10000,size=2, all=10000 ,velocity=3232 , using time:3094
test delete,thread num=1, repeat=10000,size=2, all=10000 ,velocity=3404 , using time:2937

test write,thread num=10, repeat=10000,size=2, all=100000 ,velocity=11742 , using time:8516
test read,thread num=10, repeat=10000,size=2, all=100000 ,velocity=12623 , using time:7922
test delete,thread num=10, repeat=10000,size=2, all=100000 ,velocity=13473 , using time:7422

test write,thread num=50, repeat=10000,size=2, all=500000 ,velocity=23021 , using time:21719
test read,thread num=50, repeat=10000,size=2, all=500000 ,velocity=22630 , using time:22094
test delete,thread num=50, repeat=10000,size=2, all=500000 ,velocity=23222 , using time:21531

test write,thread num=100, repeat=10000,size=2, all=1000000 ,velocity=25467 , using time:39266
test read,thread num=100, repeat=10000,size=2, all=1000000 ,velocity=24105 , using time:41484
test delete,thread num=100, repeat=10000,size=2, all=1000000 ,velocity=28119 , using time:35563



performace test2

xmemcached
test write,thread num=1, repeat=100,size=2, all=100 ,velocity=492 , using time:203
test read,thread num=1, repeat=100,size=2, all=100 ,velocity=581 , using time:172

test write,thread num=10, repeat=100,size=2, all=1000 ,velocity=1362 , using time:734
test read,thread num=10, repeat=100,size=2, all=1000 ,velocity=831 , using time:1203

test write,thread num=30, repeat=100,size=2, all=3000 ,velocity=1536 , using time:1953
test read,thread num=30, repeat=100,size=2, all=3000 ,velocity=1015 , using time:2953

test write,thread num=50, repeat=100,size=2, all=5000 ,velocity=1608 , using time:3109
test read,thread num=50, repeat=100,size=2, all=5000 ,velocity=1126 , using time:4438

test write,thread num=100, repeat=100,size=2, all=10000 ,velocity=1576 , using time:6343
test read,thread num=100, repeat=100,size=2, all=10000 ,velocity=989 , using time:10110

spymemcached

test write,thread num=1, repeat=100,size=2, all=100 ,velocity=377 , using time:265
test read,thread num=1, repeat=100,size=2, all=100 ,velocity=531 , using time:188

test write,thread num=10, repeat=100,size=2, all=1000 ,velocity=84 , using time:11844
test read,thread num=10, repeat=100,size=2, all=1000 ,velocity=753 , using time:1328

test write,thread num=30, repeat=100,size=2, all=3000 ,velocity=66 , using time:44922
test read,thread num=30, repeat=100,size=2, all=3000 ,velocity=872 , using time:3437

test write,thread num=50, repeat=100,size=2, all=5000 ,velocity=68 , using time:72469
test read,thread num=50, repeat=100,size=2, all=5000 ,velocity=1084 , using time:4609

test write,thread num=100, repeat=100,size=2, all=10000 ,velocity=62 , using time:160907
test read,thread num=100, repeat=100,size=2, all=10000 ,velocity=1347 , using time:7422


//three node test

xmemcached

test write,thread num=1, repeat=10000,size=2, all=10000 ,velocity=5387 , using time:1856
test read,thread num=1, repeat=10000,size=2, all=10000 ,velocity=5285 , using time:1892
test delete,thread num=1, repeat=10000,size=2, all=10000 ,velocity=6510 , using time:1536

test write,thread num=10, repeat=10000,size=2, all=100000 ,velocity=10537 , using time:9490
test read,thread num=10, repeat=10000,size=2, all=100000 ,velocity=15969 , using time:6262
test delete,thread num=10, repeat=10000,size=2, all=100000 ,velocity=11702 , using time:8545

test write,thread num=50, repeat=10000,size=2, all=500000 ,velocity=12235 , using time:40864
test read,thread num=50, repeat=10000,size=2, all=500000 ,velocity=19462 , using time:25690
test delete,thread num=50, repeat=10000,size=2, all=500000 ,velocity=13355 , using time:37439

test write,thread num=100, repeat=10000,size=2, all=1000000 ,velocity=12397 , using time:80663
test read,thread num=100, repeat=10000,size=2, all=1000000 ,velocity=19384 , using time:51587
test delete,thread num=100, repeat=10000,size=2, all=1000000 ,velocity=13501 , using time:74067

test write,thread num=200, repeat=10000,size=2, all=2000000 ,velocity=12083 , using time:165511
test read,thread num=200, repeat=10000,size=2, all=2000000 ,velocity=18500 , using time:108108
test delete,thread num=200, repeat=10000,size=2, all=2000000 ,velocity=12766 , using time:156658

spymemcached

test write,thread num=1, repeat=10000,size=2, all=10000 ,velocity=4486 , using time:2229
test read,thread num=1, repeat=10000,size=2, all=10000 ,velocity=4464 , using time:2240
test delete,thread num=1, repeat=10000,size=2, all=10000 ,velocity=5790 , usingtime:1727

test write,thread num=10, repeat=10000,size=2, all=100000 ,velocity=13145 , using time:7607
test read,thread num=10, repeat=10000,size=2, all=100000 ,velocity=13927 , using time:7180
test delete,thread num=10, repeat=10000,size=2, all=100000 ,velocity=15318 , using time:6528
    
test write,thread num=50, repeat=10000,size=2, all=500000 ,velocity=15702 , using time:31842
test read,thread num=50, repeat=10000,size=2, all=500000 ,velocity=15808 , using time:31628
test delete,thread num=50, repeat=10000,size=2, all=500000 ,velocity=16939 , using time:29517


test write,thread num=100, repeat=10000,size=2, all=1000000 ,velocity=16087 , using time:62161
